2024-11-27 14:18:17 INFO  AllureUIListener.afterInvocation - Test finished successfully: MuseumApiTest
2024-11-27 14:18:17 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 14:18:17 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 14:18:17 INFO  AllureUIListener.onTestSuccess - Test passed: api.MuseumApiTest#MuseumApiTest
2024-11-27 14:18:17 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 14:26:14 INFO  AllureUIListener.onTestStart - Test started: ui.MuseumTest#loginTest
2024-11-27 14:26:20 INFO  AllureUIListener.afterInvocation - After method invocation: ui.MuseumTest#loginTest
2024-11-27 14:26:20 INFO  AllureUIListener.afterInvocation - Test finished successfully: loginTest
2024-11-27 14:26:20 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 14:26:20 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 14:26:20 INFO  AllureUIListener.onTestSuccess - Test passed: ui.MuseumTest#loginTest
2024-11-27 14:26:20 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 14:26:21 INFO  AllureUIListener.onTestStart - Test started: ui.MuseumTest#createMuseum
2024-11-27 14:26:26 INFO  AllureUIListener.afterInvocation - After method invocation: ui.MuseumTest#createMuseum
2024-11-27 14:26:26 INFO  AllureUIListener.afterInvocation - Test finished successfully: createMuseum
2024-11-27 14:26:26 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 14:26:26 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 14:26:26 INFO  AllureUIListener.onTestSuccess - Test passed: ui.MuseumTest#createMuseum
2024-11-27 14:26:26 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 14:26:26 INFO  AllureUIListener.onTestStart - Test started: ui.MuseumTest#createMuseum
2024-11-27 14:26:29 INFO  AllureUIListener.afterInvocation - After method invocation: ui.MuseumTest#createMuseum
2024-11-27 14:26:29 INFO  AllureUIListener.afterInvocation - Test finished successfully: createMuseum
2024-11-27 14:26:29 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 14:26:29 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 14:26:29 INFO  AllureUIListener.onTestSuccess - Test passed: ui.MuseumTest#createMuseum
2024-11-27 14:26:29 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 14:26:29 INFO  AllureUIListener.onTestStart - Test started: ui.MuseumTest#deleteMuseumTest
